OBJECTID,FID_GRID_TAZ_50_100,grid_id,Grid_Area,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,Shape_Length,Shape_Area,segArea
1220,1545,1545,830674.3074,447,277,1134,464,447,1180,LH003-03-07,972845.9898,118,447,0,964252,0.004086971,5.19342E-07,5922.465332
1221,1546,1546,830663.3745,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.019996984,1.36085E-05,155183.3281
1222,1546,1546,830663.3745,114,179,109,7,114,1120,LH002-03-09,3180937.517,112,114,0,3151210,0.003934143,2.87527E-07,3278.982178
1223,1546,1546,830663.3745,410,180,123,14,410,1350,LH006-T1-01,3721948.632,135,410,0,3689440,0.030778593,5.89456E-05,672201
1224,1547,1547,830652.4757,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.038402925,6.12389E-05,698341.25
1225,1547,1547,830652.4757,408,175,1146,472,408,1330,LH006-01-25,879214.2861,133,408,0,870510,0.014292377,7.89568E-06,90039.95313
1226,1547,1547,830652.4757,409,174,1145,471,409,1320,LH006-01-25,740047.8478,132,409,0,732853,0.011698531,3.70704E-06,42274.58984
1227,1548,1548,830641.611,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.030229003,4.41309E-05,503240.1875
1228,1548,1548,830641.611,408,175,1146,472,408,1330,LH006-01-25,879214.2861,133,408,0,870510,0.014030549,1.08896E-05,124180.7109
1229,1548,1548,830641.611,465,199,1144,470,465,1340,LH006-01-25,1866757.411,134,465,0,1848380,0.01799026,1.78211E-05,203223.75
1230,1549,1549,830630.7804,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.031799488,6.09882E-05,695463.625
1231,1549,1549,830630.7804,465,199,1144,470,465,1340,LH006-01-25,1866757.411,134,465,0,1848380,0.016774142,1.18534E-05,135169.8438
1232,1550,1550,830619.9839,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.03416,7.28416E-05,830619.9375
1233,1551,1551,830609.2215,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.03416,7.28416E-05,830609.1875
1234,1552,1552,830598.4932,86,82,124,15,86,1360,LH006-T2-13,27153211.09,136,86,0,26892500,0.027019581,9.95753E-06,113542.9453
1235,1552,1552,830598.4932,419,81,402,72,419,4070,YT101-T1-01,7034279.018,407,419,0,6969030,0.030708095,6.28841E-05,717054.1875
1236,1553,1553,830587.799,419,81,402,72,419,4070,YT101-T1-01,7034279.018,407,419,0,6969030,0.03416,7.28416E-05,830587.8125
1237,1554,1554,830577.1389,419,81,402,72,419,4070,YT101-T1-01,7034279.018,407,419,0,6969030,0.03416,7.28416E-05,830577.125
