OBJECTID,FID_GRID_TAZ_50_100,grid_id,Grid_Area,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,Shape_Length,Shape_Area,segArea
1436,1712,1712,830956.5989,107,263,518,87,107,5150,BA103A-03,3089020.448,515,107,0,3066020,0.02986314,4.28321E-05,488617.9063
1437,1712,1712,830956.5989,317,267,519,88,317,5160,BA103B-03,4633014.201,516,317,0,4599080,0.025623681,3.00095E-05,342337.4375
1438,1713,1713,830944.5439,107,263,518,87,107,5150,BA103A-03,3089020.448,515,107,0,3066020,0.003948963,8.38867E-07,9569.732422
1439,1713,1713,830944.5439,317,267,519,88,317,5160,BA103B-03,4633014.201,516,317,0,4599080,0.033242339,7.15738E-05,816484.3125
1440,1713,1713,830944.5439,338,268,527,95,338,5140,BA103A-02,2120608.291,514,338,0,2104670,0.003250302,4.28889E-07,4892.72998
1441,1714,1714,830932.5231,317,267,519,88,317,5160,BA103B-03,4633014.201,516,317,0,4599080,0.029075586,5.02239E-05,572925.375
1442,1714,1714,830932.5231,332,257,513,85,332,5170,BA103B-04,7342906.524,517,332,0,7292650,0.020314194,2.0381E-05,232490.6406
1443,1714,1714,830932.5231,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.002237059,2.19838E-07,2507.808105
1444,1714,1714,830932.5231,337,349,528,96,337,5110,BA103B-01,1615218.69,511,337,0,1603790,0.006535432,2.01689E-06,23007.87305
1445,1715,1715,830920.5364,332,257,513,85,332,5170,BA103B-04,7342906.524,517,332,0,7292650,0.027112347,2.98544E-05,340553.3438
1446,1715,1715,830920.5364,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.027134581,4.2587E-05,485802.2813
1447,1715,1715,830920.5364,337,349,528,96,337,5110,BA103B-01,1615218.69,511,337,0,1603790,0.003059077,4.00249E-07,4565.901855
1448,1716,1716,830908.5838,332,257,513,85,332,5170,BA103B-04,7342906.524,517,332,0,7292650,0.020207865,1.10749E-05,126329.0859
1449,1716,1716,830908.5838,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.031676593,6.17667E-05,704579.5625
1450,1717,1717,830896.6654,332,257,513,85,332,5170,BA103B-04,7342906.524,517,332,0,7292650,0.004862771,1.33502E-06,15228.17871
1451,1717,1717,830896.6654,335,342,512,84,335,5120,BA103B-02,2406657.996,512,335,0,2390490,0.019746037,1.772E-05,202132.375
1452,1717,1717,830896.6654,347,256,511,83,347,5130,BA102B-02,4851262.595,513,347,0,4821940,0.029455978,5.37866E-05,613537.3125
1453,1718,1718,830884.7811,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.011176163,5.41218E-06,61736.17188
1454,1718,1718,830884.7811,347,256,511,83,347,5130,BA102B-02,4851262.595,513,347,0,4821940,0.03345946,6.74294E-05,769151.4375
1455,1719,1719,830872.931,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.032847913,2.98622E-05,340625
1456,1719,1719,830872.931,347,256,511,83,347,5130,BA102B-02,4851262.595,513,347,0,4821940,0.026310008,4.29794E-05,490245.9063
1457,1720,1720,830861.115,243,253,1032,383,243,5310,BA104C,46547680.5,531,243,0,46253600,0.01342086,5.14001E-06,58628.79688
1458,1720,1720,830861.115,329,255,509,82,329,5050,BA102B-01,2830729.916,505,329,0,2814890,0.02766869,2.53766E-05,289456.8125
1459,1720,1720,830861.115,350,298,346,69,350,3530,NS011-T1-21,35699193.88,353,350,0,35554800,0.026325883,3.9881E-05,454897.5625
1460,1720,1720,830861.115,353,325,338,61,353,3460,NS010-03-01,1948392.972,346,353,0,1939270,0.009624651,2.44396E-06,27877.16797
1461,1721,1721,830849.3332,350,298,346,69,350,3530,NS011-T1-21,35699193.88,353,350,0,35554800,0.013452133,4.97483E-06,56743.18359
1462,1721,1721,830849.3332,353,325,338,61,353,3460,NS010-03-01,1948392.972,346,353,0,1939270,0.032268103,6.78668E-05,774103.375
1463,1722,1722,830837.5855,350,298,346,69,350,3530,NS011-T1-21,35699193.88,353,350,0,35554800,0.007112363,1.04523E-06,11921.7998
1464,1722,1722,830837.5855,352,324,339,62,352,3450,NS010-04-02,1313154.177,345,352,0,1307490,0.026554758,3.28868E-05,375109.3125
1465,1722,1722,830837.5855,353,325,338,61,353,3460,NS010-03-01,1948392.972,346,353,0,1939270,0.026122837,3.89096E-05,443805.8125
