OBJECTID,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,FID_grid_100,grid_area,grid_id,Shape_Length,Shape_Area,segArea
11913,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11420,198762.4531,11419,0.016000292,1.65562E-05,188750.6406
11914,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11421,198761.0156,11420,0.015926462,1.62853E-05,185660.8438
11915,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11422,198759.5625,11421,0.005324253,1.10497E-06,12597.04199
11916,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11620,210987.8125,11619,0.013724529,1.00966E-05,115104.9219
11917,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11621,210986.2656,11620,0.017211912,1.85072E-05,210986.2344
11918,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11622,210984.75,11621,0.01358246,9.59239E-06,109353.8828
11919,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11820,210981.4375,11819,0.010216715,2.45524E-06,27989.6582
11920,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11821,210979.9063,11820,0.016252108,1.71309E-05,195289.2969
11921,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,11822,210978.375,11821,0.011259911,6.30078E-06,71828.48438
11922,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,12020,198744.7969,12019,0.005469736,8.82943E-07,10065.22559
11923,368,448,555,102,368,5290,BA104A-07,1503446.477,529,368,0,1493240,12021,198743.3594,12020,0.007695123,2.48728E-06,28354.23047
11924,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,12818,216558.4063,12817,0.002657371,1.59329E-07,1816.061646
11925,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,12819,207894.5313,12818,0.010079128,2.88192E-06,32848.91016
11926,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,12820,207893.0156,12819,0.011337538,5.51425E-06,62852.17578
11927,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,12821,207891.5156,12820,0.00622707,2.29846E-06,26198.07617
11928,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13017,204579.5313,13016,0.01305918,9.46898E-06,107928.1016
11929,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13018,210182.875,13017,0.016369122,1.69233E-05,192893.2813
11930,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13019,201774.0625,13018,0.016845701,1.77026E-05,201774.0156
11931,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13020,201772.5938,13019,0.016845703,1.77026E-05,201772.5938
11932,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13021,201771.125,13020,0.014337397,1.143E-05,130277.3125
11933,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13217,213872.2813,13216,0.014376175,1.17626E-05,134068.4375
11934,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13218,219730.1406,13217,0.017578125,1.92784E-05,219730.1563
11935,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13219,210939.375,13218,0.017211914,1.85072E-05,210939.375
11936,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13220,210937.8438,13219,0.017211916,1.85072E-05,210937.8906
11937,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13221,210936.3125,13220,0.016884228,1.83267E-05,208878.7344
11938,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13222,210934.7813,13221,0.008687488,2.79523E-06,31858.20508
11939,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13417,201467.9688,13416,0.00707496,2.10059E-06,23941.67188
11940,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13418,206986.0938,13417,0.016262627,1.7136E-05,195306.1719
11941,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13419,198705.1719,13418,0.016723631,1.74344E-05,198705.125
11942,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13420,198703.7188,13419,0.016723633,1.74344E-05,198703.7188
11943,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13421,198702.2813,13420,0.016723631,1.74344E-05,198702.2344
11944,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13422,198700.8438,13421,0.012970715,9.38829E-06,106999.1719
11945,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13618,219717.2344,13617,0.013322678,8.22827E-06,93778.26563
11946,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13619,210926.9844,13618,0.016766025,1.81574E-05,206939.3438
11947,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13620,210925.4531,13619,0.015178911,1.379E-05,157164.2969
11948,369,454,589,136,369,5490,XBGY-31,3573834.706,549,369,0,3550900,13621,210923.9219,13620,0.013229901,9.51622E-06,108455.0859
